날짜,전체 산업,농업 임업 및 어업(01~03),광업(05~08),제조업(10~34),전기 가스 증기 및 공기조절 공급업(35),수도 하수 및 폐기물 처리 원료 재생업(36~39),건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),전문 과학 및 기술 서비스업(70~73),사업시설 관리 사업 지원 및 임대 서비스업(74~76),공공행정 국방 및 사회보장 행정(84),교육 서비스업(85),보건업 및 사회복지 서비스업(86~87),예술 스포츠 및 여가관련 서비스업(90~91),협회 및 단체 수리 및 기타 개인 서비스업(94~96)
2010-04-01,17758511.5,29883.5,15842.75,3473326.5,51590.5,85050.0,1162066.0,2635965.0,991944.0,1779432.25,467221.5,717794.25,417412.75,773928.75,835060.0,656275.25,1432786.0,1113276.5,323200.25,796455.75
2010-05-01,17795691.0,30033.666666666668,15796.666666666666,3490289.0,51600.0,85356.0,1157146.0,2641891.6666666665,992667.6666666666,1785604.0,468242.6666666667,718802.6666666666,417398.0,775542.6666666666,836599.6666666666,654069.0,1433416.6666666667,1118422.6666666667,324282.3333333333,798530.0
2010-06-01,17832870.5,30183.833333333332,15750.583333333334,3507251.5,51609.5,85662.0,1152226.0,2647818.3333333335,993391.3333333334,1791775.75,469263.8333333333,719811.0833333334,417383.25,777156.5833333334,838139.3333333334,651862.75,1434047.3333333333,1123568.8333333333,325364.4166666667,800604.25
2010-07-01,17870050.0,30334.0,15704.5,3524214.0,51619.0,85968.0,1147306.0,2653745.0,994115.0,1797947.5,470285.0,720819.5,417368.5,778770.5,839679.0,649656.5,1434678.0,1128715.0,326446.5,802678.5
2010-08-01,17907229.5,30484.166666666668,15658.416666666666,3541176.5,51628.5,86274.0,1142386.0,2659671.6666666665,994838.6666666666,1804119.25,471306.1666666667,721827.9166666666,417353.75,780384.4166666666,841218.6666666666,647450.25,1435308.6666666667,1133861.1666666667,327528.5833333333,804752.75
2010-09-01,17944409.0,30634.333333333332,15612.333333333334,3558139.0,51638.0,86580.0,1137466.0,2665598.3333333335,995562.3333333334,1810291.0,472327.3333333333,722836.3333333334,417339.0,781998.3333333334,842758.3333333334,645244.0,1435939.3333333333,1139007.3333333333,328610.6666666667,806827.0
2010-10-01,17981588.5,30784.5,15566.25,3575101.5,51647.5,86886.0,1132546.0,2671525.0,996286.0,1816462.75,473348.5,723844.75,417324.25,783612.25,844298.0,643037.75,1436570.0,1144153.5,329692.75,808901.25
2010-11-01,18018768.0,30934.666666666668,15520.166666666666,3592064.0,51657.0,87192.0,1127626.0,2677451.6666666665,997009.6666666666,1822634.5,474369.6666666667,724853.1666666666,417309.5,785226.1666666666,845837.6666666666,640831.5,1437200.6666666667,1149299.6666666667,330774.8333333333,810975.5
2010-12-01,18055947.5,31084.833333333332,15474.083333333334,3609026.5,51666.5,87498.0,1122706.0,2683378.3333333335,997733.3333333334,1828806.25,475390.8333333333,725861.5833333334,417294.75,786840.0833333334,847377.3333333334,638625.25,1437831.3333333333,1154445.8333333333,331856.9166666667,813049.75
2011-01-01,18093127.0,31235.0,15428.0,3625989.0,51676.0,87804.0,1117786.0,2689305.0,998457.0,1834978.0,476412.0,726870.0,417280.0,788454.0,848917.0,636419.0,1438462.0,1159592.0,332939.0,815124.0
2011-02-01,18132804.416666668,31201.75,15431.75,3633672.25,51578.5,87929.91666666667,1112947.25,2697030.1666666665,999647.3333333334,1841153.25,477811.4166666667,726695.0833333334,416873.0,790636.75,852957.3333333334,636540.0,1441561.8333333333,1168102.8333333333,333843.25,817190.75
2011-03-01,18172481.833333332,31168.5,15435.5,3641355.5,51481.0,88055.83333333333,1108108.5,2704755.3333333335,1000837.6666666666,1847328.5,479210.8333333333,726520.1666666666,416466.0,792819.5,856997.6666666666,636661.0,1444661.6666666667,1176613.6666666667,334747.5,819257.5
