,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2016-01-01,16709.0,10592.0,12939.0,15364.0,21140.0,32940.0
2016-02-01,16765.0,10648.333333333334,13003.666666666666,15399.916666666666,21166.083333333332,33095.0
2016-03-01,16821.0,10704.666666666666,13068.333333333334,15435.833333333334,21192.166666666668,33250.0
2016-04-01,16877.0,10761.0,13133.0,15471.75,21218.25,33405.0
2016-05-01,16933.0,10817.333333333334,13197.666666666666,15507.666666666666,21244.333333333332,33560.0
2016-06-01,16989.0,10873.666666666666,13262.333333333334,15543.583333333334,21270.416666666668,33715.0
2016-07-01,17045.0,10930.0,13327.0,15579.5,21296.5,33870.0
2016-08-01,17101.0,10986.333333333334,13391.666666666666,15615.416666666666,21322.583333333332,34025.0
2016-09-01,17157.0,11042.666666666666,13456.333333333334,15651.333333333334,21348.666666666668,34180.0
2016-10-01,17213.0,11099.0,13521.0,15687.25,21374.75,34335.0
2016-11-01,17269.0,11155.333333333334,13585.666666666666,15723.166666666666,21400.833333333332,34490.0
2016-12-01,17325.0,11211.666666666666,13650.333333333334,15759.083333333334,21426.916666666668,34645.0
2017-01-01,17381.0,11268.0,13715.0,15795.0,21453.0,34800.0
2017-02-01,17559.416666666668,11405.333333333334,13852.833333333334,15975.333333333334,21661.75,35016.416666666664
2017-03-01,17737.833333333332,11542.666666666666,13990.666666666666,16155.666666666666,21870.5,35232.833333333336
2017-04-01,17916.25,11680.0,14128.5,16336.0,22079.25,35449.25
2017-05-01,18094.666666666668,11817.333333333334,14266.333333333334,16516.333333333332,22288.0,35665.666666666664
2017-06-01,18273.083333333332,11954.666666666666,14404.166666666666,16696.666666666668,22496.75,35882.083333333336
2017-07-01,18451.5,12092.0,14542.0,16877.0,22705.5,36098.5
2017-08-01,18629.916666666668,12229.333333333334,14679.833333333334,17057.333333333332,22914.25,36314.916666666664
2017-09-01,18808.333333333332,12366.666666666666,14817.666666666666,17237.666666666668,23123.0,36531.333333333336
2017-10-01,18986.75,12504.0,14955.5,17418.0,23331.75,36747.75
2017-11-01,19165.166666666668,12641.333333333334,15093.333333333334,17598.333333333332,23540.5,36964.166666666664
2017-12-01,19343.583333333332,12778.666666666666,15231.166666666666,17778.666666666668,23749.25,37180.583333333336
2018-01-01,19522.0,12916.0,15369.0,17959.0,23958.0,37397.0
2018-02-01,19609.583333333332,12978.833333333334,15452.25,18044.75,24042.666666666668,37473.333333333336
2018-03-01,19697.166666666668,13041.666666666666,15535.5,18130.5,24127.333333333332,37549.666666666664
