,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2014-02-01,1745366329.30253,2715251.588061735,368346.65370036743,730886835.094512,60107783.99274971,6717346.886521795,169593229.16002673,75480601.06488064,121593319.08883734,3234201.803671778,44570206.822664104,67094243.738833584,3644472.554829003,41963742.58552577,22212123.81661541,19170323.65062406,14950235.12973396
2014-03-01,1744909127.815689,2761298.1072319155,376043.9247624664,727841823.9427567,59165471.97332515,6520280.291316524,170506651.35328162,75349045.0150876,121101748.32360837,3283359.907394287,44713187.134616084,67587121.20323664,3688642.6065355036,42701547.188849695,22614453.050537605,18899420.908518936,15038468.292920053
2014-04-01,1744748316.719635,2828433.5053819823,387621.07278703235,724400314.6832519,57860332.06732228,6279173.083984981,171971287.6086663,75214762.79560891,120347627.79599825,3345621.3684579222,44859595.7695181,68083563.49659507,3762764.425963701,43488470.03471413,23128540.120399944,18700786.195801385,15091778.082858171
2014-05-01,1744860641.3804028,2904770.2786814794,401233.40581085585,721024960.649883,56380248.645273834,6029724.085617118,173786949.84605482,75093320.72093146,119450425.62974386,3411885.8890841524,44987925.91519856,68519549.90498361,3857518.8433912485,44215603.826040246,23676594.427781444,18599656.450796746,15106588.029346596
2014-06-01,1745170682.5801713,2990273.4273718153,417096.03002835356,717517895.3888403,54674578.71376811,5762587.633846593,176015588.18496984,74973560.3555638,118395819.46776049,3484617.207964578,45105175.38892409,68929304.11862881,3976862.7885897653,44926664.587573,24275778.579418834,18578339.603506267,15092025.96376186
2014-07-01,1745579076.667584,3074521.6956884437,433522.78570754826,714131376.6221449,52899340.18241088,5501971.010078951,178456853.34235802,74860276.87339365,117295393.56433363,3557252.6677359836,45202288.809018165,69291327.67072876,4110837.575860851,45571221.46987705,24868889.962600525,18627729.259258036,15056823.649590852
2014-08-01,1746030142.3865948,3158007.5168739134,450916.4072198811,710666793.580432,50984213.05050313,5237784.04358786,181214402.2990753,74742855.74509673,116121277.31323372,3632680.7363663143,45284182.877708286,69634913.39442404,4266014.826299021,46187485.370429195,25476094.98911657,18740167.974770363,15006774.767499462
2014-09-01,1746426476.3013818,3232655.9589666515,468032.47672357317,707265203.3846508,49035865.35493873,4986201.52354715,184150647.7212954,74621954.66125053,114955781.74179436,3706500.393729161,45345734.85699645,69952736.23730963,4435804.364329628,46748317.43663153,26057838.2589439,18903886.433824204,14951102.530294677
2014-10-01,1746677680.19144,3291523.200960758,483662.1007234251,704059600.5958647,47165217.088209644,4761784.974912757,187105130.61519527,74498676.71777344,113880114.50211675,3774516.482950871,45384425.62698701,70240768.58125693,4611745.763208545,47233673.629231624,26577823.26495509,19100551.939913675,14899749.893425455
2014-11-01,1746717593.4542327,3333409.6076772804,498154.8714789215,700863435.5099026,45295587.60059204,4556857.565300564,190215722.47739822,74361741.0879207,112868055.56555459,3839309.5139627433,45401277.04656727,70523370.51219626,4803208.418137474,47671151.46639267,27051341.327128798,19332325.439779624,14857433.849377805
