,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2027-04-30,3138426136.2209673,3596488.9952492816,1571820.8822791674,1026967935.5323768,190169560.07646593,11907607.486045485,408045973.52131736,203217844.71898252,295396090.50023216,7594165.650569425,223333103.51618388,250746619.34140489,7253900.188301151,171475189.04738507,75793980.50044397,100180688.223693,35932805.97661259
2027-05-31,3128181941.6778145,3728352.118561688,1560510.306963639,1114595039.721424,179120198.6716394,12172342.9937184,433336209.6437845,202314702.0871097,302140829.0712424,7721027.106731633,234076747.40485662,219845100.884066,7414875.839280795,172385622.8074758,78571135.48827651,102221413.93308762,37366982.75295756
2027-06-30,3087842019.6117625,3860513.865830984,1548076.3307677684,1209921842.8566945,168889642.36889112,12445462.782096745,451111044.2126111,199779455.9470707,306176923.10435146,7812616.493349638,241836127.49540403,190351032.2302634,7546521.6156050395,171967235.81347033,80603047.44763274,103066918.24291342,38599841.58428011
2027-07-31,3024739827.884977,3995841.685332591,1537434.4363245987,1310213121.9320269,159827267.62471157,12732956.983038474,462424633.65047216,195902603.50021183,307965713.1752254,7908114.495946125,246797539.35824746,164303881.10784703,7661071.631070615,170324764.3855858,81800123.55917217,102813980.6967455,39706423.586876474
2027-08-31,2934289608.941959,4131017.2006317372,1533980.1523100955,1407715837.6991892,153608341.482547,13021568.532771347,464641054.1755823,190542113.58405197,307069628.5534881,7973780.548187903,248588841.34832722,145811704.65567282,7743987.214037187,167503958.21447694,82200567.31360899,101487598.12551828,40634475.040940225
2027-09-30,2825221756.264395,4249523.335154978,1533020.9440612607,1493227082.170463,150994952.6330677,13288843.361339152,457610574.5205741,184637656.56683275,303567109.72859657,8009839.090496896,246907522.8036936,133613650.97235097,7801864.840790037,163788358.83890873,81737298.35740584,99192742.15326123,41239422.93026922
2027-10-31,2708011167.677206,4360230.237778094,1542406.1551770954,1561872694.5505302,152218308.18563148,13533468.970641108,441356066.3496279,178371228.8322007,297503974.6834178,8030765.133155102,242338827.2337947,128252824.93627936,7821537.202121161,159327697.94322807,80469368.22527876,96164710.6739761,41629140.107097335
2027-11-30,2599278167.7944384,4452068.474972862,1560521.3665709428,1603834425.582937,158310634.21954557,13742500.059826473,416278849.2360956,172497411.817875,289487549.3893935,8029952.118680664,234996436.20847303,129892557.76346886,7816876.799708845,154496407.0198649,78492230.65210362,92535841.8823751,41712692.563498035
2027-12-31,2500829175.4227405,4533871.391259656,1598289.074773843,1615213273.9406145,170454376.5023686,13942213.959411563,383069690.0562334,166930220.82629457,279089128.62601244,8048673.802506116,224959093.2162572,139396235.67671305,7808301.882255946,149234233.70491827,75853449.97367401,88287570.20148975,41626832.62371067
2028-01-31,2429499020.7865686,4589287.6792755695,1642793.501723031,1590865215.1786084,188228320.59167483,14102379.185490314,346153005.7007218,162940145.48054466,268013639.88025248,8039909.450594395,213864985.63824067,155935531.05456564,7769189.0647855075,144433789.19617632,72881327.89110887,84031310.4574793,41293173.719746925
2028-02-29,2396426554.8564024,4637799.410372422,1693133.714792772,1530993569.3248591,209933062.92303136,14231312.192483708,306611151.50739014,161068714.52741712,256763333.55880848,8037123.96801359,200628397.2738731,177999427.85393575,7728309.085156332,140050879.33508396,69411790.54252236,79766648.33822885,40783790.77386099
2028-03-31,2391162917.1855793,4670692.629768113,1746607.1996855356,1442703026.059649,234277873.30206043,14323498.822459733,270069789.74047875,161390089.61987823,246635053.87500682,8023442.415156816,187542941.6507214,205631854.8717198,7671797.803656184,136753070.31107205,65931941.59983927,76111979.20128872,40208780.285771854
2028-04-30,2414835738.1847844,4694238.14133492,1801138.4367640065,1331416238.7066028,258870407.6853589,14396276.425670749,239720881.32940388,164459549.4439065,238820004.14056623,8030215.673201014,174810176.76420194,236606001.62826225,7621684.54111371,134617346.0470086,62548800.20757401,73301464.7210727,39559263.63428235
2028-05-31,2460499244.443694,4721681.323906178,1853134.7551325487,1209835230.743837,281759293.70425993,14457543.789417721,218570032.8615205,170202266.25951627,234272768.49376738,8039193.290077967,163823049.18253613,268434655.6166148,7575027.557872234,134071499.17893678,59541510.18771201,71696130.82482465,38930342.6692839
2028-06-30,2519404574.1076713,4747105.952155616,1903439.378953146,1088449013.3535423,301223950.0250023,14517171.422989834,206259771.59049094,178320844.1069457,233364786.10082006,8062831.243560413,155175963.95649442,298470008.4939033,7547535.6433548005,135054280.0977192,57111725.651209675,71567301.72817682,38385010.09035825
2028-07-31,2588744988.628652,4766597.299401887,1943773.0578403273,980971772.0628848,316729111.5748249,14563188.582149696,203461025.70994526,188597460.63643205,236760636.1389022,8082104.249916068,149927704.31657568,324335204.0680577,7512254.278728841,137743411.5420316,55459756.462340996,73096590.51896541,37886669.5303677
2028-08-31,2671099399.49495,4784777.454083939,1981721.9734552023,899021179.9826889,328247145.1262356,14590734.383178648,211611932.78974158,201213529.40547988,245230320.26119393,8103076.856977163,148879173.6762542,345403149.85800445,7488911.571765817,142157777.24538973,54777451.06353537,76316997.7848906,37458962.713561125
2028-09-30,2752036438.4273973,4815173.363315103,2015718.4973573997,848935371.4546089,334879476.9599999,14637427.425313346,230767278.27889338,214968107.41247848,258360461.585255,8130302.132058159,152490565.81815138,357316719.61476386,7477826.392104466,147846826.92404693,55108455.922528386,81104248.72384077,37191087.0470464
2028-10-31,2828866837.840299,4840872.976951696,2039485.7352427545,832428877.9802856,337428689.4773415,14674423.688641833,261894498.0572255,229313064.51249707,276041860.1569666,8148209.870121117,160744922.49227268,359625037.3846064,7467597.477766718,154840938.2021287,56483368.537896685,87176887.30573657,37044422.12549025
2028-11-30,2898395720.5934324,4871247.342169937,2060714.0843027388,869015179.7473985,334267112.0304564,14713012.08475259,304080735.706889,243364717.33015883,297652658.2778479,8170093.276902715,174469029.89654186,349976665.78075397,7462864.047517559,162569298.9867979,59026766.35991187,94293269.12827022,37063424.929851055
2028-12-31,2959467602.33658,4917239.321422134,2084710.312775214,958244517.8755878,327296099.79555786,14746890.718866171,351940190.2144846,256257247.8955009,322172050.3054967,8158834.004284214,192767778.47402126,328760626.86482,7458675.259990509,171091910.1997805,62626803.176427245,101967814.11528142,37283282.58568263
2029-01-31,2995980635.319246,4961778.875136512,2103344.3331834716,1096689840.3713982,316226901.30574834,14825690.58217514,396608820.2728716,265940059.74158162,345688933.04733413,8137509.37033728,212931811.96113467,296474500.3469701,7454290.80245787,178983231.0842407,66816086.86005196,109133514.77313308,37671446.80223841
2029-02-28,3003547218.5448775,5015407.01007991,2118973.8269409076,1268986310.9733276,302402491.417148,14901363.296790682,432370485.58727264,272534261.7618257,366401115.37916887,8100066.002686377,232230811.24551752,259185442.81247234,7435854.339709056,185844695.96068028,71029901.82358831,115282110.57610033,38095377.01128756
2029-03-31,2982380343.822823,5069729.340995234,2133977.3185669906,1469199259.3869796,286241277.1203247,14975318.935468396,458885776.34365135,275248685.31008977,383195217.747618,8039179.320757099,249891255.37952992,218375067.1673619,7409375.895476979,191420157.70221394,75091540.73042065,120329766.09547167,38541799.19507806
